#,Entry_ET,Direction,Score,ATR,Entry_Price,TP_Level,SL_Level,Exit_Price,PnL_Pts,PnL_USD,Exit_Reason,Entry_UTC,Exit_UTC
135,2025-11-28 11:01,SHORT,4,10.05,25406.25,25398.21,25418.31,25418.56,-12.31,-25.87,SL,2025-11-28 16:01,2025-11-28 16:04
136,2025-11-28 11:12,SHORT,4,10.23,25425.50,25417.31,25437.78,25417.56,7.94,14.63,TP,2025-11-28 16:12,2025-11-28 16:20
137,2025-11-28 12:00,SHORT,4,8.61,25426.50,25419.61,25436.83,25419.86,6.64,12.03,TP,2025-11-28 17:00,2025-11-28 17:00
138,2025-11-28 12:56,SHORT,4,12.45,25448.25,25438.29,25463.19,25463.44,-15.19,-31.61,SL,2025-11-28 17:56,2025-11-28 17:57
139,2025-11-28 13:01,SHORT,4,14.46,25478.50,25466.93,25495.86,25496.11,-17.61,-36.45,SL,2025-11-28 18:01,2025-11-28 18:03
140,2025-11-28 13:07,SHORT,4,14.61,25478.75,25467.06,25496.28,25496.53,-17.78,-36.80,SL,2025-11-28 18:07,2025-11-30 23:00
141,2025-12-01 09:57,SHORT,4,27.82,25359.50,25337.24,25392.89,25337.49,22.01,42.77,TP,2025-12-01 14:57,2025-12-01 14:58
142,2025-12-01 10:02,SHORT,4,24.96,25365.00,25345.03,25394.96,25345.28,19.72,38.20,TP,2025-12-01 15:02,2025-12-01 15:03
143,2025-12-01 10:53,SHORT,4,20.93,25406.00,25389.26,25431.11,25389.51,16.49,31.75,TP,2025-12-01 15:53,2025-12-01 16:06
144,2025-12-01 11:43,SHORT,4,14.21,25420.00,25408.63,25437.06,25437.31,-17.31,-35.85,SL,2025-12-01 16:43,2025-12-01 16:46
145,2025-12-01 11:51,SHORT,4,11.93,25439.00,25429.46,25453.31,25429.71,9.29,17.35,TP,2025-12-01 16:51,2025-12-01 16:55
146,2025-12-01 12:30,SHORT,4,11.82,25452.75,25443.29,25466.94,25443.54,9.21,17.17,TP,2025-12-01 17:30,2025-12-01 17:30
147,2025-12-01 12:45,SHORT,4,9.57,25481.00,25473.34,25492.49,25492.74,-11.74,-24.71,SL,2025-12-01 17:45,2025-12-01 17:46
148,2025-12-01 13:14,SHORT,4,8.55,25476.50,25469.66,25486.76,25469.91,6.59,11.95,TP,2025-12-01 18:14,2025-12-01 18:17
149,2025-12-01 13:59,SHORT,4,6.46,25489.00,25483.83,25496.76,25484.08,4.92,8.60,TP,2025-12-01 18:59,2025-12-01 19:00
150,2025-12-02 10:02,SHORT,4,22.86,25641.50,25623.21,25668.93,25623.46,18.04,34.83,TP,2025-12-02 15:02,2025-12-02 15:04
151,2025-12-02 10:35,LONG,4,21.55,25551.00,25568.24,25525.14,25567.99,16.99,32.75,TP,2025-12-02 15:35,2025-12-02 15:37
152,2025-12-02 10:52,SHORT,4,15.95,25658.50,25645.74,25677.64,25645.99,12.51,23.77,TP,2025-12-02 15:52,2025-12-02 15:53
153,2025-12-02 11:23,LONG,4,26.80,25499.25,25520.69,25467.09,25466.84,-32.41,-66.07,SL,2025-12-02 16:23,2025-12-02 16:23
154,2025-12-02 11:27,LONG,4,26.18,25466.50,25487.44,25435.09,25434.84,-31.66,-64.57,SL,2025-12-02 16:27,2025-12-02 16:31
155,2025-12-02 14:17,SHORT,4,10.36,25604.75,25596.46,25617.18,25596.71,8.04,14.83,TP,2025-12-02 19:17,2025-12-02 19:17
156,2025-12-02 16:00,SHORT,4,12.79,25599.75,25589.52,25615.09,25600.25,-0.50,-2.24,EOD,2025-12-02 21:00,2025-12-02 21:00
